acceleration,topspeed,erange_real,efficiency,fastcharge_speed hidden,model,battery,car_link,car_oem,market_segment
6.1,201,415,139,690.0,Model,57.5,https://ev-database.org/car/1991/Tesla-Model-3,Tesla,D
4.4,201,500,150,770.0,Model,75.0,https://ev-database.org/car/1992/Tesla-Model-3-Long-Range-Dual-Motor,Tesla,D
7.3,160,330,183,370.0,ATTO,60.5,https://ev-database.org/car/1782/BYD-ATTO-3,BYD,C
5.0,217,435,172,670.0,Model,75.0,https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-Dual-Motor,Tesla,D
6.9,217,350,164,580.0,Model,57.5,https://ev-database.org/car/1743/Tesla-Model-Y,Tesla,D
7.9,160,360,171,630.0,MG4,61.7,https://ev-database.org/car/1708/MG-MG4-Electric-64-kWh,MG,C
3.8,180,490,168,540.0,SEAL,82.5,https://ev-database.org/car/2002/BYD-SEAL-825-kWh-AWD-Excellence,BYD,D
5.7,190,515,157,800.0,i4,80.7,https://ev-database.org/car/1252/BMW-i4-eDrive40,BMW,D
6.1,200,360,197,480.0,iX,71.0,https://ev-database.org/car/1472/BMW-iX-xDrive40,BMW,E
7.0,160,340,178,340.0,DOLPHIN,60.5,https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh,BYD,C
6.7,180,435,177,650.0,ID.4,77.0,https://ev-database.org/car/2028/Volkswagen-ID4-Pro,Volkswagen,C
3.9,180,475,180,450.0,HAN,85.4,https://ev-database.org/car/1784/BYD-HAN,BYD,E
5.3,180,365,175,540.0,EX30,64.0,https://ev-database.org/car/1910/Volvo-EX30-Single-Motor-ER,Volvo,B
11.0,135,265,166,340.0,e-C3,44.0,https://ev-database.org/car/2039/Citroen-e-C3,Citroen,B
5.9,180,500,165,550.0,SEAL,82.5,https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design,BYD,D
3.7,250,415,181,640.0,Model,75.0,https://ev-database.org/car/1183/Tesla-Model-Y-Performance,Tesla,D
7.8,167,385,168,390.0,Niro,64.8,https://ev-database.org/car/1666/Kia-Niro-EV,Kia,C
7.8,170,390,168,400.0,Kona,65.4,https://ev-database.org/car/1830/Hyundai-Kona-Electric-65-kWh,Hyundai,B
4.5,250,465,219,540.0,Spectre,102.0,https://ev-database.org/car/1765/Rolls-Royce-Spectre,Rolls-Royce,F
2.3,282,560,170,780.0,Model,95.0,https://ev-database.org/car/1405/Tesla-Model-S-Plaid,Tesla,F
6.8,180,385,192,520.0,iX3,74.0,https://ev-database.org/car/1535/BMW-iX3,BMW,D
7.9,170,490,178,510.0,Scenic,87.0,https://ev-database.org/car/2069/Renault-Scenic-E-Tech-EV87-220hp,Renault,C
4.6,180,355,243,420.0,TANG,86.4,https://ev-database.org/car/1783/BYD-TANG,BYD,E
7.6,160,335,185,300.0,e:Ny1,61.9,https://ev-database.org/car/1940/Honda-eNy1,Honda,B
19.1,125,165,152,180.0,Spring,25.0,https://ev-database.org/car/1705/Dacia-Spring-Electric-45,Dacia,A
4.9,200,370,243,430.0,E-HS9,90.0,https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh,Hongqi,F
3.2,250,575,165,800.0,Model,95.0,https://ev-database.org/car/1404/Tesla-Model-S-Dual-Motor,Tesla,F
5.6,180,380,170,510.0,iX1,64.7,https://ev-database.org/car/1701/BMW-iX1-xDrive30,BMW,C
5.9,210,460,206,920.0,Q6,94.9,https://ev-database.org/car/2146/Audi-Q6-e-tron-quattro,Audi,D
9.0,150,235,159,390.0,500e,37.3,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh,Fiat,B
3.9,205,520,205,620.0,Ocean,106.5,https://ev-database.org/car/1711/Fisker-Ocean-Extreme,Fisker,D
6.7,180,450,171,670.0,Enyaq,77.0,https://ev-database.org/car/2020/Skoda-Enyaq-85,Skoda,C
7.3,185,410,180,1070.0,EV6,74.0,https://ev-database.org/car/1481/Kia-EV6-Long-Range-2WD,Kia,C
8.4,175,370,185,420.0,ZS,68.3,https://ev-database.org/car/1541/MG-ZS-EV-Long-Range,MG,B
9.3,175,340,211,320.0,SEAL,71.8,https://ev-database.org/car/2094/BYD-SEAL-U-718-kWh-Comfort,BYD,D
6.0,190,430,156,580.0,i4,67.0,https://ev-database.org/car/1785/BMW-i4-eDrive35,BMW,D
7.4,160,380,158,530.0,Megane,60.0,https://ev-database.org/car/1521/Renault-Megane-E-Tech-EV60-220hp,Renault,C
6.0,200,435,221,830.0,EV9,96.0,https://ev-database.org/car/1835/Kia-EV9-998-kWh-AWD,Kia,F
3.9,225,450,179,700.0,i4,80.7,https://ev-database.org/car/1519/BMW-i4-M50,BMW,D
6.9,217,350,164,810.0,Model,57.5,https://ev-database.org/car/1974/Tesla-Model-Y,Tesla,D
7.5,160,340,188,510.0,bZ4X,64.0,https://ev-database.org/car/1564/Toyota-bZ4X-FWD,Toyota,C
7.3,160,350,166,470.0,Born,58.0,https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh,CUPRA,C
4.7,240,510,199,760.0,i7,101.7,https://ev-database.org/car/1676/BMW-i7-xDrive60,BMW,F
6.5,180,475,162,730.0,ID.7,77.0,https://ev-database.org/car/1839/Volkswagen-ID7-Pro,Volkswagen,E
7.7,160,300,169,380.0,MG4,50.8,https://ev-database.org/car/1707/MG-MG4-Electric-51-kWh,MG,C
3.0,270,665,168,840.0,Air,112.0,https://ev-database.org/car/1316/Lucid-Air-Grand-Touring,Lucid,F
8.9,160,415,170,560.0,EQB,70.5,https://ev-database.org/car/1988/Mercedes-Benz-EQB-250plus,Mercedes-Benz,C
7.9,144,235,166,230.0,Leaf,39.0,https://ev-database.org/car/1656/Nissan-Leaf,Nissan,C
7.3,185,390,190,1020.0,IONIQ,74.0,https://ev-database.org/car/1662/Hyundai-IONIQ-5-Long-Range-2WD,Hyundai,C
